id,gender,age,time,number_of_stimuli_per_exercise,time_to_complete
1,Female,100,Wed May 16 15:40:29 GMT+02:00 2018,5,1.1601833333333333
11,Female,100,Wed May 16 16:35:26 GMT+02:00 2018,10,6.229216666666667
458,Male,100,Thu May 17 10:36:06 GMT+02:00 2018,5,2.662333333333333
459,Female,100,Thu May 17 10:47:10 GMT+02:00 2018,5,2.6219333333333332
460,Female,100,Thu May 17 12:16:12 GMT+02:00 2018,20,10.512166666666667
483,Male,100,Thu May 17 15:51:45 GMT+02:00 2018,30,15.511166666666666
484,Female,100,Thu May 17 16:50:24 GMT+02:00 2018,15,8.923983333333334
0,Male,24,Sun May 20 18:53:02 GMT+02:00 2018,20,12.355483333333334
1,Male,25,Sun May 20 19:09:42 GMT+02:00 2018,20,9.8822
2,Male,26,Wed May 23 14:10:45 GMT+02:00 2018,20,9.236933333333333
3,Male,34,Wed May 23 15:07:24 GMT+02:00 2018,20,9.873316666666666
4,Female,25,Thu May 24 22:08:46 GMT+02:00 2018,20,10.370616666666667
5,Male,39,Fri May 25 09:45:18 GMT+02:00 2018,20,7.6187
6,Female,29,Fri May 25 10:03:04 GMT+02:00 2018,20,10.102033333333333
7,Male,27,Fri May 25 10:28:26 GMT+02:00 2018,20,17.435783333333333
8,Male,27,Fri May 25 10:47:48 GMT+02:00 2018,20,10.023433333333333
9,Male,25,Fri May 25 11:22:10 GMT+02:00 2018,20,13.105683333333333
10,Female,30,Fri May 25 11:41:49 GMT+02:00 2018,20,8.684616666666667
11,Male,25,Fri May 25 13:13:20 GMT+02:00 2018,20,9.17085
12,Male,47,Fri May 25 13:44:44 GMT+02:00 2018,20,13.39015
13,Female,34,Mon May 28 09:42:22 GMT+02:00 2018,20,10.868666666666666
14,Male,27,Mon May 28 10:24:44 GMT+02:00 2018,20,8.58875
15,Male,21,Mon May 28 12:54:48 GMT+02:00 2018,20,8.600466666666666
16,Male,26,Mon May 28 14:11:10 GMT+02:00 2018,20,11.98975
17,Female,32,Mon May 28 14:42:49 GMT+02:00 2018,20,8.3151
18,Male,23,Mon May 28 16:10:49 GMT+02:00 2018,20,7.3734166666666665
19,Male,23,Tue May 29 10:31:20 GMT+02:00 2018,20,11.820083333333333
20,Male,24,Tue May 29 12:48:52 GMT+02:00 2018,20,17.636833333333332
21,Male,17,Tue May 29 13:26:20 GMT+02:00 2018,20,13.265866666666666
22,Female,31,Wed Jun 06 11:10:47 GMT+02:00 2018,20,11.369333333333334
23,Male,27,Wed Jun 06 12:20:54 GMT+02:00 2018,20,10.02895
